"id","commodity__sid","commodity__code","commodity__suffix","commodity__description","commodity__validity_start","commodity__validity_end","parent__sid","parent__code","parent__suffix"
22594,97908,"8505199089","80","Other","2014-01-01","#NA",97907,"8505199030","10"
22595,49761,"8505200000","80","Electromagnetic couplings, clutches and brakes","1972-01-01","#NA",49749,"8505000000","80"
22596,49762,"8505200010","80","For use in certain types of aircraft","1972-01-01","#NA",49761,"8505200000","80"
22597,84606,"8505200030","80","Electromagnetic clutch, for use in the manufacture of compressors of air conditioning machines of motor vehicles","2006-07-01","#NA",49761,"8505200000","80"
22598,109256,"8505200040","80","Electromagnetic clutch:
 
-transmitting torque from the motor shaft to the cutting device pulley,
 
-containing field coil, rotor, hub and armature,
 
-with an operating voltage of 12 V
 
-a current of 3,93 A current or more but not more than 6,86 A,
 
-a resistance of 1,84 ohm or more but not more than 3,05 ohm (operating at 20 °C),
 
-a static torque of 108 Nm or more but not more than 305 Nm
for use in the manufacture of rider type self-propelled mowers","2024-07-01","#NA",49761,"8505200000","80"
22599,49763,"8505200090","80","Other","1972-01-01","#NA",49761,"8505200000","80"
22600,49767,"8505900000","80","Other, including parts","1972-01-01","#NA",49749,"8505000000","80"
22601,102471,"8505902100","10","Electromagnets; electromagnetic or permanent magnet chucks, clamps and similar holding devices","2017-01-01","#NA",49767,"8505900000","80"
22602,102472,"8505902100","80","Electromagnets of a kind used solely or principally for magnetic resonance imaging apparatus other than electromagnets of heading 9018","2017-01-01","#NA",102471,"8505902100","10"
22603,102473,"8505902900","80","Other","2017-01-01","#NA",102471,"8505902100","10"
22604,102474,"8505902910","80","For use in certain types of aircraft","2017-01-01","#NA",102473,"8505902900","80"
22605,102477,"8505902999","80","Other","2017-01-01","#NA",102473,"8505902900","80"
22606,86644,"8505905000","80","Electromagnetic lifting heads","2007-01-01","#NA",49767,"8505900000","80"
22607,86645,"8505905010","80","For use in certain types of aircraft","2007-01-01","#NA",86644,"8505905000","80"
22608,86646,"8505905090","80","Other","2007-01-01","#NA",86644,"8505905000","80"
22609,49774,"8505909000","80","Parts","1972-01-01","#NA",49767,"8505900000","80"
22610,49775,"8505909010","80","For use in certain types of aircraft","1972-01-01","#NA",49774,"8505909000","80"
22611,106130,"8505909020","80","Electromagnetic clutch coil in a cylindrical metal housing
-	the metal housing is made of hot-rolled steel complying with standard JIS G 3131 - SPHE,
-	the coil is made of copper wire,
-	with a weight of 0,4kg or more but not more than 0,85kg,
-	with a width of 20mm or more but not more than 45mm,
-	with a plate reinforced to the coil (coil backplate) with an internal diameter of 44mm or more but not more than 46mm,
-	with an external diameter of 87mm or more but not more than 110mm,
-	without plunger,
-	with one connector
","2021-07-01","#NA",49774,"8505909000","80"
22612,49776,"8505909090","80","Other","1972-01-01","#NA",49774,"8505909000","80"
22613,49777,"8506000000","80","Primary cells and primary batteries","1972-01-01","#NA",49496,"8500000000","80"
22614,60424,"8506100000","80","Manganese dioxide","1996-01-01","#NA",49777,"8506000000","80"
